"propertyLocation_id","props.address","props.latitude","props.longitude","props.zipcode","props.zpid","props.city","props.county","props.state","props.country"
84,"2700 Trifle Ln",35.999577,-78.54696,27587,305117706,"Wake Forest","WAKE","NC","US"
85,"2712 Derby Glen Way",36.004017,-78.55573,27587,305125883,"Wake Forest","WAKE","NC","US"
86,"260 Kavanaugh Rd",35.957905,-78.45959,27587,336868656,"Wake Forest","WAKE","NC","US"
87,"1522 Cloverfield Ct",35.957905,-78.45959,27587,2060330523,"Wake Forest","WAKE","NC","US"
88,"8101 Baronleigh Ln",35.957905,-78.45959,27587,2061817682,"Wake Forest","WAKE","NC","US"
89,"1205 Mondavi Woods Ct",35.963192,-78.51946,27587,6555535,"Wake Forest","WAKE","NC","US"
90,"12432 Oneal Rd",36.012478,-78.57544,27587,82668060,"Wake Forest","WAKE","NC","US"
91,"1600 Upper Park Rd",35.95543,-78.5101,27587,133705036,"Wake Forest","WAKE","NC","US"
92,"1057 Poppy Fields Ln",35.981895,-78.48924,27587,215493457,"Wake Forest","WAKE","NC","US"
93,"508 Friendship Chapel Rd",35.964455,-78.50014,27587,338501633,"Wake Forest","WAKE","NC","US"
94,"129 Sam Ct",35.95126,-78.45579,27587,338501727,"Wake Forest","WAKE","NC","US"
95,"525 Roycroft Dr",35.95126,-78.45579,27587,2058872285,"Wake Forest","WAKE","NC","US"
96,"508 Friendship Chapel Rd #35",35.95126,-78.45579,27587,2059752754,"Wake Forest","WAKE","NC","US"
97,"1713 Golden Honey Dr",35.95126,-78.45579,27587,2059767887,"Wake Forest","WAKE","NC","US"
98,"529 Roycroft Dr",35.95126,-78.45579,27587,2059953093,"Wake Forest","WAKE","NC","US"
99,"8537 Plimoth Hill Dr",35.91278,-78.53269,27587,50115228,"Wake Forest","WAKE","NC","US"
100,"232 Woodstaff Ave",35.939583,-78.50493,27587,305120980,"Wake Forest","WAKE","NC","US"
101,"307 Conrad Ln",35.99694,-78.500725,27587,338499169,"Wake Forest","WAKE","NC","US"
102,"369 Jorpaul Dr",35.99694,-78.500725,27587,2060437031,"Wake Forest","WAKE","NC","US"
103,"365 Jorpaul Dr",35.99694,-78.500725,27587,2060508063,"Wake Forest","WAKE","NC","US"
104,"1001 Rivermead Ln",36.000237,-78.60445,27587,82668832,"Wake Forest","WAKE","NC","US"
105,"520 Clifton Blue St",35.961388,-78.500626,27587,82674920,"Wake Forest","WAKE","NC","US"
106,"2117 Averette Rd",35.975044,-78.45976,27587,132339696,"Wake Forest","WAKE","NC","US"
107,"3701 Legato Ln",36.00956,-78.52289,27587,248755003,"Wake Forest","WAKE","NC","US"
108,"8021 Keyland Pl",35.99962,-78.59433,27587,248755862,"Wake Forest","WAKE","NC","US"
109,"1228 Remey Ave #HVC-0023",35.99962,-78.59433,27587,2059529967,"Wake Forest","WAKE","NC","US"
110,"1704 Golden Honey Dr",35.99962,-78.59433,27587,2061670279,"Wake Forest","WAKE","NC","US"
111,"8109 Baronleigh Ln",35.99962,-78.59433,27587,2062627605,"Wake Forest","WAKE","NC","US"
